"2012: o ano em que a Terra parou acabou, porque o software travou",7/1/2011,9:00,Vinicius Teles
Individuals and interactions over process and tools,7/1/2011,11:00,David Paniz
Mantendo a Qualidade dos Códigos de Teste,7/1/2011,11:00,Maurício Szabo
Como fazer com que seu futuro PO exerça o seu papel efetivamente,7/1/2011,11:00,Felipe do Prado Osti
The Agile city-building game,7/1/2011,11:00,Alejandra Alfonso e Emilio Gutter 
Manifesto for Meta-Agile - Coaching para Agilidade além da própria Agilidade,7/1/2011,11:00,Manoel Pimentel Medeiros
Avançando nos Fundamentos do Lean Thinking,7/1/2011,12:00,Christopher G. Thompson
O Raio-X de um projeto Ágil: erros e acertos no desenvolvimento de uma plataforma de serviços,7/1/2011,12:00,Rodrigo Veiga
Negociando limites,7/1/2011,14:30,Paulo Caroli
Scala ao Resgate: Testes de Software mais expressivos e com menos código na JVM,7/1/2011,14:30,Lucas Torri e José Filipe Sabella Barciella
Porque é difícil trabalhar com os valores ageis em projetos de escopo fechado,7/1/2011,14:30,André Nascimento
Trabalhando de forma eficaz com mentalidade legada,7/1/2011,14:30,Rodrigo Yoshima
"Dez anos depois, você realmente sabe o que é um produto com valor agregado?",7/1/2011,14:30,Luiz Claudio Parzianello
Como formar um programador 10x,7/1/2011,15:30,Luca Bastos
De Porto Alegre a Fortaleza. O que aprendemos e fizemos desde o Agile Brazil 2010,7/1/2011,15:30,Rafael Barbosa Camargo e Renato Freire Ricardo
Visões de Mercado sobre Equipes de Trabalho Autogerenciadas,7/1/2011,15:30,Rafael Sabbagh
Captando requisitos de forma ágil,7/1/2011,17:00,Nícolas Iensen
Testes em ambientes Ágeis,7/1/2011,17:00,Jose Papo
Escalando agile na GVT Telecom - um case real,7/1/2011,17:00,Felipe Rodrigues de Almeida e Saulo Abreu
Tudo o que você precisa saber sobre contratos ágeis de software,7/1/2011,17:00,Thiago Alves
Lean Startup,7/1/2011,17:00,Matheus Haddad e Alexandre Gomes
Otimização de execução de testes através de níveis,7/1/2011,18:00,José Mathias Gusso
Nearshore Agile,7/1/2011,18:00,Danilo Ruziska
"Ciclos de Avaliação de Pressupostos: Entendendo Lean, Kanban e Agilidade sob uma nova perspectiva",7/1/2011,18:00,Alisson Vale
Clean Code,7/1/2011,18:00,Rodrigo Branas
Priorizando a Felicidade,6/30/2011,9:00,Joshua Keriesvky
Jogando com valores ágeis,6/30/2011,11:00,Lucianna Almeida e Thiago Colucci
Design Up Front' (na dose certa) pode fazer bem ao seu projeto!,6/30/2011,11:00,Rodolpho Ugolini Neto
Startup em uma grande empresa: a evolução de um processo,6/30/2011,11:00,Henrique Imbertti Junior
Usando indicadores para Auxiliar a Dar Mais Visibilidade e a Melhorar o Desempenho,6/30/2011,11:00,Clavius Tales
Learning Kaizen from TOYOTA,6/30/2011,11:00,Kenji Hiranabe
Desmistificando o Trunk Based Development,6/30/2011,12:00,Carlos Lopes e Guilherme Lacerda
Como uma Empresa de Mecatrônica Aderiu a Taskboards e Kanbans na sua Gestão à Vista,6/30/2011,12:00,Teresa Maciel
LIGHTNING TALKS 4,6/30/2011,12:00,"Danilo Sato, Daniel Wildt, Giovanni Bassi, Felipe Rodrigues de Almeida, Manoel Pimentel Medeiros"
O grandiosismo dos loucos,6/30/2011,12:00,Cecilia Fernandes e Guilherme Silveira
Integrando equipes ágeis. Um overview sobre os problemas em escalar agilidade,6/30/2011,14:30,Emerson Carvalho e Anderson Faria
Testes unitários com C++,6/30/2011,14:30,Ramiro Batista da Luz
StoryTouch: de protótipo a produto,6/30/2011,14:30,Hugo Corbucci e Fernando Freire da Silva
Todo mundo nasce ágil,6/30/2011,14:30,Saulo Arruda
LIGHTNING TALKS 2,6/30/2011,14:30,"Bruno Pedroso, Rafael Barbosa Camargo, Manoel Pimentel Medeiros, Rodrigo Yoshima, Daniel Wildt"
Retrospectivas Ágeis,6/30/2011,17:00,Vitor Pelizza
Coding Dojo: Formato Kake,6/30/2011,17:00,Hugo Corbucci e Mariana Bravo
Scrum e a Espiral Positiva,6/30/2011,17:00,Douglas Aguiar e Giovanni Bassi
LIGHTNING TALKS 3,6/30/2011,17:00,"Matheus Haddad e Flavio Logullo, Rodrigo Branas, Leo Silva e Ulisses Telemaco, Rodolpho Ugolini Neto, Daniel Wildt e Hélio Medeiros"
Agile Transitions - Culture of Change or Change of Culture?,6/30/2011,17:00,Thomas Lissajoux
Ágil como Bruce Lee,6/30/2011,18:00,Luiz Fernando Amorim Ribeiro e João Alberto Vortmann
Dar caos à ordem,6/30/2011,18:00,Christiano Milfont
"Otimizando a entrega de valor - Além de custo, prazo e escopo",6/30/2011,18:00,Samuel Crescêncio
Prepare a Sandwich like an Agile Business Analyst,6/30/2011,18:00,Lucas Medina e Kimberley Szuta
Liderança adaptável: acelerando a agilidade organizacional,6/29/2011,9:00,Jim Highsmith
Da visão a produção - Criando produtos e lançando ao mercado,6/29/2011,11:00,Daniel Wildt e Rafael Helm
A importância dos testes de regressão,6/29/2011,11:00,Fabio Massa e Diogo Baeder
"A escola do século XXI tem que ser ágil, lean e empreendedora. Ponto.",6/29/2011,11:00,Alexandre Gomes e Henrique Bastos
Distributed Retrospectives,6/29/2011,11:00,Sharlene McKinnon
Scrumban - do Scrum ao Kanban,6/29/2011,11:00,Rodrigo de Toledo
What Concerns Beginner Test-Driven Development Practitioners: A Qualitative Analysis of Opinions in an Agile Conference,6/29/2011,11:00,"Mauricio Aniche (USP), Thiago Ferreira (USP) e Marco Gerosa (USP)"
Método Ágil aplicado ao Desenvolvimento de Software Confiável baseado em Componentes,6/29/2011,11:00,"Alan Braz (Unicamp), Cecília M. F. Rubira (Unicamp) e Marco Vieira (Universidade de Coimbra)"
An Agile Technique for Prioritizing Features in Environments with Multiple Stakeholders,6/29/2011,11:00,Eduardo Negrão (ITA) e Eduardo Guerra (ITA)
Continuous Inspection - Uma abordagem efetiva para melhoria contínua da qualidade de software,6/29/2011,12:00,Gabriel de Souza Pereira Moreira e Roberto Pepato Mellado
There and back again (Lá e de Volta Outra Vez),6/29/2011,12:00,Cecilia Fernandes
Slicing and dicing your user stories,6/29/2011,12:00,Jenny Wong e Danilo Sato
LIGHTNING TALKS 1,6/29/2011,14:30,"Marlon Luz, Luca Bastos, Rodrigo Yoshima, Daniel William, Hélio Medeiros"
"Quando o design apodrece, TDD é seu melhor amigo",6/29/2011,14:30,Mauricio Aniche e Guilherme Silveira
"""COWBLAM! nossa metodologia é a melhor!""",6/29/2011,14:30,Alexandre Freire
Scrum com Equipes Distribuídas,6/29/2011,14:30,Rafael Prikladnicki
Desenvolvendo outside in com BDD,6/29/2011,14:30,Giovanni Bassi e Victor Hugo Germano
Integrando inspeção de usabilidade à metodologia ágil Scrum,6/29/2011,14:30,Fernanda Martins (UFPE)
Acompanhamento de projetos ágeis distribuído - Adaptando as práticas do Scrum,6/29/2011,14:30,"Hernan Munoz (UFPE), Teresa M Medeiros Maciel (UFPE) e Silvio Romero De Lemos Meira (UFPE)"
An Empirical Analysis of eXtreme Programming Practices and its Impact on Software Quality Metrics,6/29/2011,14:30,"Roberto Pepato Mellado (ITA), Gabriel De Souza Pereira Moreira (ITA), Adilson Marques Da Cunha (ITA), Luiz Alberto Vieira Dias (ITA) e Robson Luiz Monteiro Junior (ITA)"
Uma Abordagem Empírica para o Tratamento de Bugs em Ambientes Ágeis,6/29/2011,14:30,"Andreia Matos Dos Santos (UFAM, INdT), Börje Karlsson (INdT) e Andre Cavalcante (UDAM, INdT)"
Exploring User Wish through Mindmapping,6/29/2011,15:30,Kenji Hiranabe
GreenBar - Inserindo cultura de testes automatizados na sua empresa,6/29/2011,15:30,Rafael Ponte
Gerenciando sua dívida técnica,6/29/2011,15:30,Danilo Sato
A sociedade do Dojo e os grupos de Capoeira,6/29/2011,17:00,Bruno Pedroso
Tente Desenvolver Diferente com TDD,6/29/2011,17:00,Mauricio Matsuda e Altieres Lopes
Scrum na Horta,6/29/2011,17:00,Matheus Haddad e Flavio Logullo
Reservoir Dogs - a shot at agile portfolio management,6/29/2011,17:00,Thomas Lissajoux
Agile Database Development,6/29/2011,17:00,Pramod Sadalage
Retrato da comunidade acadêmica de Métodos Ágeis no Brasil,6/29/2011,17:00,Eduardo Katayama (USP) e Alfredo Goldman (USP)
Da Essência à Necessidade - Os Mitos do Mundo Ágil!,6/29/2011,18:00,Paulo Igor Alves Godinho e Anderson Silveira
"Problemas e soluções no desenvolvimento remoto: duas empresas, um projeto",6/29/2011,18:00,Lucas Cavalcanti e Dov Bigio